,text_surronding,Gender
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5404,"fuir , ami divin de mon enfance . Je crois",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5407,divin de mon enfance . Je crois bien qu' il,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5417,n' y a plus que vous dont mon cœur exigeant,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5419,a plus que vous dont mon cœur exigeant se contente,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5429,. Le démon seul en moi nie que votre enseignement,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5432,"seul en moi nie que votre enseignement soit parfait ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5439,"soit parfait , et que je puisse renoncer à tout",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5447,"à tout , fors à vous , puisque , dans",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5457,"le renoncement à tout , je vous retrouve . Seuil",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5458,"renoncement à tout , je vous retrouve . Seuil de",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5474,"paradis , De nouvelle allégresse Mon âme est étourdie …",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5479,Mon âme est étourdie … Seigneur ! augmente mon ivresse,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5482,étourdie … Seigneur ! augmente mon ivresse . Aplanissez l',male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5491,l' espace Qui sépare de Vous Mon âme en sa,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5492,espace Qui sépare de Vous Mon âme en sa disgrâce,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5501,disgrâce Qui se souvient de Vous … Seigneur ! aggravez,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5503,se souvient de Vous … Seigneur ! aggravez mon extase,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5506,Vous … Seigneur ! aggravez mon extase . Sable aride,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5520,"trace du pied nu , Mon poème ingénu N' élude",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5542,", Sur des flots cadencés Mon âme se balance .",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5578,"Rires , rythmes divins ! J' ai goûté d' un",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5595,Ô trop claire lumière Transperce mes paupières ! Ta vérité,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5598,"lumière Transperce mes paupières ! Ta vérité , Seigneur ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5601,"paupières ! Ta vérité , Seigneur , M' a blessé",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5603,"Ta vérité , Seigneur , M' a blessé jusqu' au",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5624,fête . Quelle fête ? Je ne sais plus .,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5630,"ne sais plus . De ma fenêtre , qui donnait",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5652,"et le Ponte Vecchio , je contemplais la foule ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5678,". Et , tandis que je regardais en amont ,",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5727,"un espace à découvert , je vis la foule s'",male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5777,que le courant emportait . Je descendis . Les passants,male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5783,descendis . Les passants que j' interrogeai me dirent qu',male
Gide-Andre_Les-nouvelles-nourritures_<celui qui vient d' entrer-161>_5860,; la retenir ? … Je gagnai le Ponte Vecchio,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_1948,- aller … Ah ! j' oubliais : nous avions,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_1965,. * Du jour où je parvins à me persuader,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_1971,parvins à me persuader que je n' avais pas besoin,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_1984,", commença d' habiter en moi le bonheur ; oui",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_1993,"oui , du jour où je me persuadai que je",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_1997,où je me persuadai que je n' avais besoin de,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2022,"à l' égoïsme , que j' avais fait jaillir aussitôt",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2028,avais fait jaillir aussitôt de mon cœur une telle abondance,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2036,telle abondance de joie que j��en pusse abreuver tous les,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2043,abreuver tous les autres . Je compris que le meilleur,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2053,enseignement est d' exemple . J' assumai mon bonheur comme,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2055,d' exemple . J' assumai mon bonheur comme une vocation,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2065,". Eh quoi ! pensais - je alors , si",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2174,"d' un instant , embrasserais - je moins amoureusement ce",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2180,je moins amoureusement ce que je sais que je ne,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2183,ce que je sais que je ne pourrai pas retenir,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2246,de ton chant . Mais j' ai compris à présent,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2272,mais l' amour ; et je sais à présent goûter,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2309,atteindre . Éblouissement tendre Accueille mon réveil ! Je suis,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2312,tendre Accueille mon réveil ! Je suis loin de prétendre,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2323,"l' immatériel ; Mais t' aime , azur sans tache",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2332,tache . Léger comme Ariel Je meurs si je m',male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2335,comme Ariel Je meurs si je m' attache À quelque,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2350,"n' est rien , que je sache , De plus",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2369,Pour goûter à ce miel Je ne veux plus attendre,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2415,C' est la reconnaissance de mon cœur qui me fait,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2418,reconnaissance de mon cœur qui me fait inventer Dieu chaque,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2428,jour . Dès l' éveil je m' étonne d' être,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2434,m' étonne d' être et m' émerveille incessamment . Pourquoi,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2469,est que dans le chagrin tu songes au bonheur dont,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2475,"songes au bonheur dont il te prive , tandis qu'",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2487,"du bonheur , il ne t' arrive point de songer",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2495,de songer aux douleurs qui te sont épargnées ; c',male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2503,; c' est qu' il t' est naturel d' être,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2536,"Si peu que l' on m' en prive , je",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2540,"on m' en prive , je suis volé . Je",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2544,", je suis volé . Je ne sais point si",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2549,"Je ne sais point si je réclamais la vie ,",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2562,"; mais à présent que je vis , tout m'",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2566,"que je vis , tout m' est dû . Mais",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2578,est si douce et il m' est si nécessairement doux,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2597,air éveille un merci dans mon cœur . Le besoin,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2604,. Le besoin de reconnaissance m' enseigne à faire de,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2614,tout ce qui vient à moi du bonheur . *,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2652,"logique . ( L' illogisme m' irrite , mais l'",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2660,mais l' excès de logique m' exténue . ) Il,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2683,"autres avoir raison . ( Mon cœur , si ma",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2687,"( Mon cœur , si ma raison lui donne tort",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2700,c' est à lui que je donne raison . ),male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2731,défaut de la logique que je prends conscience de moi,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2735,que je prends conscience de moi . Ô ma plus,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2738,conscience de moi . Ô ma plus chère et ma,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2742,Ô ma plus chère et ma plus riante pensée !,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2749,riante pensée ! qu' ai - je affaire de chercher,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2763,ta naissance ? N' ai - je pas lu ce,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2811,de dieux ? … * Me voici tout contraint par,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2816,Me voici tout contraint par mon passé . Pas un,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2829,"hui , que ce que j' étais hier ne détermine",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2838,détermine . Mais celui que je suis en cet instant,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2857,Ah ! pouvoir échapper à moi - même ! Je,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2861,à moi - même ! Je bondirais par - dessus,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2872,contrainte où le respect de moi m' a soumis .,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2873,où le respect de moi m' a soumis . Ma,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2877,moi m' a soumis . Ma narine est ouverte aux,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2908,à conséquence pour demain . Mon esprit s' achoppe à,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2933,- même . N' attendrai - je plus de moi,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2937,attendrai - je plus de moi qu' une suite ?,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2951,cheminement tracé par avance . Je veux ne plus marcher,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2968,"de jarret repousser , renier mon passé ; n' avoir",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2979,à tenir de promesses : j' en ai trop fait,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_2988,"fait ! Avenir , que je t' aimerais , infidèle",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3005,"montagne emportera ton essor , ma pensée ? Oiseau bleu",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3030,"; aussi loin que peut te porter le présent ,",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3035,"te porter le présent , tu t' avances , et",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3042,"avances , et de tout ton regard déjà tu t'",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3045,"de tout ton regard déjà tu t' élances , tu",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3049,"déjà tu t' élances , tu t' évades dans l'",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3066,pas encore posées ! … Mon tourment d' hier m',male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3070,… Mon tourment d' hier m' a lassé ; j',male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3074,hier m' a lassé ; j' en ai surépuisé l',male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3081,ai surépuisé l' amertume ; je n' y crois plus,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3088,y crois plus ; et je me penche sur le,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3104,"de l' abîme , emportez - moi ! III C'",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3122,achève . Tout ce que tu résignes en toi prendra,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3125,ce que tu résignes en toi prendra vie . Tout,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3161,don . Tout ce que tu ne sais pas donner,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3166,tu ne sais pas donner te possède . Sans sacrifice,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3188,par offrande . Ce que tu prétends protéger en toi,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3192,que tu prétends protéger en toi s' atrophie . À,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3199,atrophie . À quoi reconnais - tu que le fruit,male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3243,", je sais qu' il te faut faire abandon de",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3248,te faut faire abandon de toi pour germer . Qu',male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3265,", cette douceur autour de toi . Cette abondante chair",male
Gide-Andre_Les-nouvelles-nourritures_<j'-62>_3290,Qu' elle meure afin que tu vives . Je sais,male
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_590,"de tout ceci , – Ma sœur , c' est",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_595,"Ma sœur , c' est mon cœur qui se raconte",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_610,tien son bonheur . * Je ne sais trop qui,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_616,ne sais trop qui peut m' avoir mis sur la,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_624,sur la terre . On m' a dit que c',female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_649,? Il est vrai que j' éprouve à exister joie,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_659,"si vive , que parfois je doute si déjà je",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_663,parfois je doute si déjà je n' avais envie d',female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_673,"être , alors même que je n' étais pas .",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_707,dessus . Table rase . J' ai tout balayé .,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_717,C' en est fait ! Je me dresse nu sur,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_734,"à repeupler . Bah ! Je te , reconnais ,",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_761,"arc libérateur . À travers ma paupière fermée , ton",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_787,est vaincu . Apporte à ma chair la couleur et,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_796,"et l' ardeur , à ma lèvre la soif ,",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_805,", et l' éblouissement à mon cœur . De toutes",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_823,"zénith à la terre , je saisirai la plus charmante",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_829,saisirai la plus charmante . Je ne tiens plus au,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_836,tiens plus au sol ; je me balance à l',female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_849,"rayon . Ô toi que j' aime , enfant !",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_854,"j' aime , enfant ! je te veux entraîner dans",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_859,je te veux entraîner dans ma fuite . D' une,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_875,voici l' astre ! Déleste - toi . Ne laisse,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_887,poids du plus léger passé t' asservir . * Ne,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_903,! Ô route encombrée ! je passe outre . C',female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_909,passe outre . C' est mon tour . Le rayon,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_914,mon tour . Le rayon m' a fait signe ;,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_919,m' a fait signe ; mon désir m' est le,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_921,fait signe ; mon désir m' est le plus sûr,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_929,plus sûr des guides et je suis amoureux de tout,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_948,et se viennent nouer sur mon cœur . De mille,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_956,"De mille aperceptions fragiles , je tisse un vêtement miraculeux",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_969,"rit au travers , et je souris au dieu .",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_989,"À travers la buée de mon haleine , je l'",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_992,"buée de mon haleine , je l' ai vu .",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1001,. Vers lui se tend ma lèvre . N' est,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1011,"- ce pas lui que j' entendais murmurer , ce",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1020,ce matin : Qu' attends - tu ? J' écarte,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1023,"Qu' attends - tu ? J' écarte , de l'",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1044,à n' avoir plus devant moi rien que de brillant,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1059,"Printemps plein d' indolence , J' implore ta clémence .",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1069,À toi plein de langueur J' abandonne mon cœur .,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1071,plein de langueur J' abandonne mon cœur . Ma pensée,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1074,J' abandonne mon cœur . Ma pensée indécise Flotte au,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1087,brise . Un ruissellement tendre Me pénètre de miel .,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1109,le sommeil . À travers ma paupière J' accueille ta,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1111,". À travers ma paupière J' accueille ta lumière ,",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1118,"ta lumière , Soleil qui me caresse ; Pardonne à",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1123,me caresse ; Pardonne à ma paresse … Bois mon,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1127,"à ma paresse … Bois mon cœur sans défense ,",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1143,"Adam neuf , c' est moi qui baptise aujourd' hui",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1154,"Cette rivière , c' est ma soif ; cette ombre",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1163,"ombre bocagère , c' est mon sommeil ; cet enfant",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1172,"enfant nu , c' est mon désir . Par le",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1182,"chant de l' oiseau , mon amour prend voix .",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1187,mon amour prend voix . Mon cœur bourdonne dans cette,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1200,". Déplaçable horizon , sois ma limite ; sous l'",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1241,La page blanche luit devant moi . Et de même,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1261,soumettre aux lois du rythme mon idée . Image de,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1266,"mon idée . Image de mon parfait bonheur , j'",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1270,"de mon parfait bonheur , j' étale ici , peintre",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1274,", j' étale ici , peintre recréateur , la couleur",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1287,et la plus vive . Je ne saisirai plus les,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1305,"ce toi , ramier de ma joie ? Ah !",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1328,; repose - toi . Je suis couché contre la,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1337,"la terre . Près de moi , la branche ,",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1378,roucoulement la balance . * J' écris pour qu' un,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1392,", pareil à celui que j' étais à seize ans",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1419,quelle sera sa question ? Je n' ai pas grand,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1432,époque et les jeux de mes contemporains ne m' ont,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1435,jeux de mes contemporains ne m' ont jamais beaucoup diverti,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1441,ont jamais beaucoup diverti . Je me penche par -,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1450,- delà le présent . Je passe outre . Je,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1454,. Je passe outre . Je pressens un temps où,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1475,paraît vital aujourd' hui . Je rêve à de nouvelles,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1508,. Ah ! qui délivrera mon esprit des lourdes chaînes,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1517,"chaînes de la logique ? Ma plus sincère émotion ,",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1524,"sincère émotion , dès que je l' exprime , est",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1561,l' amour . Ah ! j' ai vécu trop prudemment,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1590,Ô liberté ! Jusqu' où mon désir peut s' étendre,female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1597,"peut s' étendre , là j' irai . Ô toi",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1603,"irai . Ô toi que j' aime , viens avec",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1608,"j' aime , viens avec moi ; je te porterai",female
Gide-Andre_Les-nouvelles-nourritures_<Ma sœur-18>_1610,", viens avec moi ; je te porterai jusque -",female
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6807,indulgences » . * Il m' a depuis longtemps paru,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6830,la tristesse . Et quand j' eus fait cette découverte,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6853,", la joie devint pour moi non seulement ( ce",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6874,une obligation morale . Il me parut que le meilleur,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6894,bonheur était d' en donner soi - même l' image,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6901,"même l' image , et je résolus d' être heureux",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6907,résolus d' être heureux . J' avais écrit : «,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6932,» ; – car que m' importe un bonheur édifié,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6962,ceux qui pleurent . Et comprend bien mal cette parole,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6968,"bien mal cette parole , celui qui n' y voit",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6969,"mal cette parole , celui qui n' y voit qu'",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6981,"à pleurer ! LIVRE DEUXIÈME JE pense , donc je",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6985,"DEUXIÈME JE pense , donc je suis – C' est",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6994,est à ce donc que je m' achoppe . Je,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_6998,que je m' achoppe . Je pense et Je suis,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7001,achoppe . Je pense et Je suis ; il y,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7016,": Je sens , donc je suis – ou même",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7022,"suis – ou même : Je crois , donc je",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7026,": Je crois , donc je suis – car cela",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7035,cela revient à dire : Je pense que je suis,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7038,dire : Je pense que je suis . Je crois,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7041,pense que je suis . Je crois que je suis,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7044,suis . Je crois que je suis . Je sens,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7047,crois que je suis . Je sens que je suis,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7050,suis . Je sens que je suis . Or de,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7061,"trois propositions , la dernière m' apparaît la plus vraie",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7074,"vraie ; car enfin , je pense que je suis",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7077,"enfin , je pense que je suis n' implique peut",male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7086,peut - être pas que je sois . Non plus,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7096,le : je crois que je suis . Il y,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7118,qu' à faire du « Je crois que Dieu est,male
Gide-Andre_Les-nouvelles-nourritures_<m'-230>_7137,. Tandis que : « Je sens que je suis,male
